percentile,initial_threshold,runtime_threshold,events,event_coverage_pct,short_event_gaps,long_event_gaps,belt_minima,assists,matched_assists,missed_assists,false_assists,short_assist_gaps,crossing_to_peak_ms,motor_vs_peak_ms,speed_mps
95.0,0.3131432872704189,0.40222895338407244,77,98.2235884397529,0,1,39,39,39,0,0,0,19.865635000087423,0.13436499991257733,0.8
95.0,0.42552296884701524,0.4474733100514113,80,95.18923136565806,0,5,42,43,42,0,1,0,19.883200999856854,0.11679900014314626,1.0
96.0,0.14181580249908066,0.14398275892193302,50,92.29505583829952,0,4,27,23,23,4,0,0,19.875247999834755,0.12475200016524468,0.4
96.0,0.2644624881267793,0.2997312434929626,59,89.1769313576172,0,6,32,31,31,1,0,0,11.113213000044198,8.886786999955802,0.6
96.0,0.3218093835177589,0.43400943911377665,75,95.67232640235673,0,3,39,39,39,0,0,0,11.970503999918947,8.029496000081053,0.8
96.0,0.44246746105121937,0.48637823401009483,71,84.48044283702153,0,14,42,43,42,0,1,0,19.65629699998317,0.34370300001683063,1.0
97.0,0.16944680154616845,0.1606748721572402,44,81.21964913770357,0,8,27,19,19,8,0,0,19.688072000008106,0.31192799999189447,0.4
97.0,0.2862292401385686,0.32536436460997464,50,75.57367064204847,0,13,32,26,26,6,0,0,10.991564000050857,9.008435999949143,0.6
97.0,0.3308202506063034,0.46961822324659946,70,89.29417130886628,0,7,39,38,38,1,0,0,10.927164000008815,9.072835999991185,0.8
97.0,0.46271656791796234,0.5400477756731827,59,70.20205813217282,0,24,42,42,42,0,0,0,11.466987999938283,8.533012000061717,1.0
98.0,0.1874769631576021,0.17836321585084458,38,70.14424243710764,0,10,27,16,16,11,0,0,8.757563500012111,11.242436499987889,0.4
98.0,0.3235990627682944,0.3524107856222628,37,55.92451627511587,0,15,32,20,20,12,0,0,8.90123500005302,11.09876499994698,0.6
98.0,0.34792491961407435,0.5033429152345812,62,79.08912315928156,0,14,39,38,38,1,0,0,8.827973000165912,11.172026999834088,0.8
98.0,0.5563624024733609,0.6396629621063165,49,58.30340421146556,0,32,42,0,0,42,0,0,nan,nan,1.0
99.0,0.22549032689477602,0.2102967292009904,25,46.14752791914976,0,13,27,10,10,17,0,0,8.757563500012111,11.242436499987889,0.4
99.0,0.3480243597708521,0.387077974769135,28,42.32125555954715,0,15,32,15,15,17,0,0,8.404982000001837,11.595017999998163,0.6
99.0,0.3707480968859431,0.5574600569153584,51,65.05718195360258,0,17,39,33,33,6,0,0,8.352807999926881,11.647192000073119,0.8
99.0,0.6631064702231038,0.7257382866751328,36,42.83515411454613,0,30,42,1,1,41,0,0,0.0,20.0,1.0
